Time,All in employment2,Public sector3,Private sector,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommodation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services
Jan-Mar 2019,"32,641","7,050","25,471",333,573,"2,949","2,426","4,073","1,552","1,740","1,322","1,293",376,"2,480","1,518","2,097","3,413","4,372","1,875"
Apr-Jun 2019,"32,752","7,003","25,622",348,553,"3,019","2,361","4,044","1,593","1,773","1,342","1,278",396,"2,521","1,556","2,101","3,427","4,335","1,898"
Jul-Sep 2019,"32,802","7,023","25,661",351,553,"2,998","2,341","4,042","1,578","1,821","1,409","1,303",407,"2,554","1,516","2,122","3,416","4,405","1,828"
Oct-Dec 2019,"32,983","7,174","25,696",338,547,"3,011","2,310","4,089","1,574","1,745","1,498","1,276",386,"2,540","1,545","2,130","3,428","4,515","1,902"
Jan-Mar 2020,"32,969","7,171","25,679",322,542,"2,970","2,302","3,984","1,563","1,816","1,526","1,244",381,"2,612","1,545","2,144","3,453","4,518","1,881"
Apr-Jun 2020,"32,495","7,326","25,044",294,566,"2,895","2,201","3,918","1,575","1,683","1,462","1,314",397,"2,562","1,494","2,239","3,414","4,520","1,794"
Jul-Sep 2020,"32,369","7,420","24,854",314,539,"2,760","2,129","3,945","1,587","1,596","1,541","1,340",401,"2,643","1,499","2,242","3,418","4,531","1,777"
Oct-Dec 2020,"32,202","7,563","24,541",316,584,"2,679","2,081","3,813","1,562","1,499","1,557","1,465",416,"2,699","1,405","2,405","3,450","4,403","1,748"
Jan-Mar 2021,"32,151","7,634","24,445",287,572,"2,760","2,093","3,775","1,506","1,483","1,559","1,457",418,"2,707","1,404","2,342","3,442","4,467","1,747"
Apr-Jun 2021,"32,236","7,535","24,624",282,605,"2,704","2,113","3,810","1,496","1,526","1,541","1,447",409,"2,634","1,420","2,354","3,397","4,499","1,848"
Jul-Sep 2021,"32,631","7,637","24,871",285,636,"2,725","2,203","3,827","1,512","1,607","1,599","1,420",439,"2,668","1,452","2,399","3,387","4,542","1,763"
Oct-Dec 2021,"32,611","7,731","24,733",258,584,"2,714","2,160","3,792","1,565","1,615","1,624","1,372",390,"2,701","1,452","2,464","3,480","4,486","1,783"
Jan-Mar 2022,"32,619","7,654","24,823",246,567,"2,750","2,184","3,713","1,582","1,585","1,607","1,375",391,"2,719","1,412","2,467","3,387","4,611","1,839"
Apr-Jun 2022,"32,733","7,682","24,902",252,557,"2,754","2,206","3,553","1,578","1,687","1,663","1,435",415,"2,780","1,429","2,506","3,398","4,580","1,788"
